run_id,request_id,question_id,question_text,tags,answer_completeness_score,groundedness_score,answer_relevance_score,generation_context_strict_recall_at_4,generation_context_ndcg_at_4
05047884-3dc0-463b-a01e-2e3bed54589d,d9e05131-8783-4751-af6f-4f3a7620e3d9,q01_tcp_reliable_over_ip,"Why is TCP considered a transport layer that creates a reliable channel on top of unreliable IP, and what mechanisms does it use to compensate for packet loss, duplication, corruption, and out-of-order delivery?","causal,failure",0.0000,0.5000,1.0000,1.0000,0.8973
05047884-3dc0-463b-a01e-2e3bed54589d,10e78693-b847-4f0d-98c7-4e7cbc8d1552,q02_connection_setup_reuse_cost,"Why are opening new network connections expensive, why does geographic proximity reduce this penalty, and why do systems try to reuse connections instead of recreating them repeatedly?","causal,tradeoff",0.0000,1.0000,0.5000,1.0000,0.8807
05047884-3dc0-463b-a01e-2e3bed54589d,1a186782-1c20-426e-b35d-eb4e2b8c6747,q03_flow_vs_congestion_control,"What is the difference between flow control and congestion control in TCP, and what type of overload is each mechanism designed to prevent?",contrast,0.5000,1.0000,1.0000,1.0000,0.7780
05047884-3dc0-463b-a01e-2e3bed54589d,b2d6441d-ed22-4c05-a943-6154bfdf572e,q04_udp_for_realtime_protocols,"Why can UDP be a better foundation than TCP for real-time protocols such as multiplayer games, even though UDP does not provide reliability, ordering, or congestion-control guarantees?","contrast,tradeoff",1.0000,1.0000,1.0000,1.0000,1.0000
05047884-3dc0-463b-a01e-2e3bed54589d,b0ae837d-c46d-4d2f-9eb7-2a881ac6b24e,q05_tls_authentication_certificate_chain,"How does TLS authenticate a server, what role does the certificate chain play, and why can an expired certificate bring an application down?","causal,failure",0.0000,1.0000,1.0000,1.0000,0.8229
05047884-3dc0-463b-a01e-2e3bed54589d,f00317c3-8ed3-442d-910e-53383f5fd9ce,q07_dns_ttl_tradeoff_and_stale_entries,"How does DNS resolution work, why does the TTL create a trade-off between fast propagation and lower lookup load, and why can serving stale records be more robust than serving no records at all?","tradeoff,failure",0.5000,1.0000,1.0000,1.0000,0.8229
05047884-3dc0-463b-a01e-2e3bed54589d,b9876253-cefc-4f49-bc00-88e64e3113fc,q06_tls_integrity_hmac_vs_tcp_checksum,"Why does TLS still verify message integrity with an HMAC even though TCP already includes a checksum, and what kinds of problems does this extra protection address?","causal,failure",0.0000,1.0000,1.0000,1.0000,1.0000
05047884-3dc0-463b-a01e-2e3bed54589d,f3da5ad4-a026-42fc-9fde-85c8cc86063f,q08_http_versions_head_of_line_blocking,"Why does HTTP 1.1 suffer from head-of-line blocking, and how do HTTP 2 and HTTP 3 improve throughput and reduce the impact of packet loss?","contrast,failure",0.5000,0.5000,1.0000,1.0000,0.7019
05047884-3dc0-463b-a01e-2e3bed54589d,8278a54c-dbf9-4e0c-8bc5-9ac0dd8dedea,q09_idempotency_keys_and_atomicity,"Why can retrying a POST request after a timeout create an inconsistent system state, and how do idempotency keys together with transactional atomicity solve this problem?",failure,0.0000,1.0000,1.0000,1.0000,0.7019
05047884-3dc0-463b-a01e-2e3bed54589d,c22a2546-8aa6-46fc-a5a6-1ee8409a4cb2,q10_partial_synchrony_realism,Why is the partially synchronous model usually a better fit for real distributed systems than either the strictly synchronous model or the fully asynchronous one?,"causal,contrast",1.0000,0.5000,1.0000,1.0000,0.5615
05047884-3dc0-463b-a01e-2e3bed54589d,41e257d2-4c9f-49da-ac75-ceee63d70d5b,q11_lamport_vs_vector_clocks,"Why are Lamport logical clocks not sufficient to capture causality precisely, and how do vector clocks improve on them?","causal,contrast",0.5000,0.5000,1.0000,1.0000,1.0000
05047884-3dc0-463b-a01e-2e3bed54589d,caccb3d8-dceb-4f5f-81eb-da221918b789,q12_raft_leader_election,"How does Raft elect a leader, and why are randomized timeouts and periodic heartbeats important for preventing split votes and detecting failed leaders?","causal,failure",0.5000,1.0000,1.0000,1.0000,0.8596
05047884-3dc0-463b-a01e-2e3bed54589d,3c78cc77-d429-4165-9ed3-3bbd52a22308,q13_consistency_tradeoffs_and_cap,"Why does allowing clients to read from any follower improve availability but weaken consistency, and how does the CAP theorem frame the choice during a network partition?","tradeoff,failure",0.5000,1.0000,1.0000,1.0000,1.0000
05047884-3dc0-463b-a01e-2e3bed54589d,62e2eb61-bf74-4dad-9cde-0d73f18b499b,q14_causal_vs_eventual_consistency,"Why is eventual consistency not always enough for applications with causally related operations, and how does causal consistency strengthen the guarantees without requiring full strong consistency?","contrast,tradeoff",0.5000,1.0000,1.0000,1.0000,0.8791
05047884-3dc0-463b-a01e-2e3bed54589d,21ade09b-22d5-46f9-9747-48a482ef9181,q15_isolation_atomicity_and_2pc,"What is the difference between isolation and atomicity in transactions, and why is two-phase commit needed when atomicity must be coordinated across multiple processes?",contrast,1.0000,1.0000,1.0000,0.5000,0.6588
05047884-3dc0-463b-a01e-2e3bed54589d,49ae77b8-6547-47ee-a340-73eed8ff95ad,q16_outbox_pattern_dual_writes,"Why can dual writes to a primary database and a secondary system such as a search index leave the system in an inconsistent state, and how does the outbox pattern address this problem?",failure,0.0000,1.0000,0.5000,1.0000,0.5615
05047884-3dc0-463b-a01e-2e3bed54589d,50850915-98c7-48c7-b62c-1eed281085b5,q17_sagas_and_lack_of_isolation,"How do sagas use compensating transactions to preserve atomicity across services, and why do they still sacrifice the isolation guarantees of traditional ACID transactions?","tradeoff,failure",0.0000,0.5000,1.0000,1.0000,0.8973
05047884-3dc0-463b-a01e-2e3bed54589d,4445abe2-e5d8-4038-9cbe-4e0f8be66092,q18_range_vs_hash_partitioning,"What trade-offs separate range partitioning from hash partitioning, and why can each approach still suffer from hotspots under certain access patterns?","contrast,tradeoff",0.0000,0.5000,1.0000,1.0000,0.8973
05047884-3dc0-463b-a01e-2e3bed54589d,39dfe90b-378f-4626-a3a9-7551b5ca8b67,q19_l4_vs_l7_load_balancing,"What is the difference between transport-layer and application-layer load balancing, and what extra capabilities does an L7 load balancer gain by understanding HTTP traffic?",contrast,1.0000,1.0000,1.0000,1.0000,0.8973
1bc4a880-48a1-4a41-957f-d531cbdde2f9,a8f89f73-4fc9-4fb6-adef-c49ab3ce902b,q02_connection_setup_reuse_cost,"Why are opening new network connections expensive, why does geographic proximity reduce this penalty, and why do systems try to reuse connections instead of recreating them repeatedly?","causal,tradeoff",1.0000,1.0000,1.0000,1.0000,0.7780
1bc4a880-48a1-4a41-957f-d531cbdde2f9,279b1cbc-f0f8-4e47-8103-a60371884ed0,q01_tcp_reliable_over_ip,"Why is TCP considered a transport layer that creates a reliable channel on top of unreliable IP, and what mechanisms does it use to compensate for packet loss, duplication, corruption, and out-of-order delivery?","causal,failure",0.5000,1.0000,1.0000,1.0000,0.8660
1bc4a880-48a1-4a41-957f-d531cbdde2f9,4063fc78-c78f-457d-b56a-a0a71469a357,q03_flow_vs_congestion_control,"What is the difference between flow control and congestion control in TCP, and what type of overload is each mechanism designed to prevent?",contrast,0.5000,1.0000,1.0000,1.0000,0.7780
1bc4a880-48a1-4a41-957f-d531cbdde2f9,a410b796-21a3-4338-bcf8-d8d3fe407c0e,q04_udp_for_realtime_protocols,"Why can UDP be a better foundation than TCP for real-time protocols such as multiplayer games, even though UDP does not provide reliability, ordering, or congestion-control guarantees?","contrast,tradeoff",1.0000,1.0000,1.0000,1.0000,0.7019
1bc4a880-48a1-4a41-957f-d531cbdde2f9,d649eff8-ec4e-4df6-a58e-0849a1d3f939,q05_tls_authentication_certificate_chain,"How does TLS authenticate a server, what role does the certificate chain play, and why can an expired certificate bring an application down?","causal,failure",0.0000,0.5000,0.5000,1.0000,0.7019
1bc4a880-48a1-4a41-957f-d531cbdde2f9,3ab371a8-47cd-4156-ae53-d51d45eeded2,q06_tls_integrity_hmac_vs_tcp_checksum,"Why does TLS still verify message integrity with an HMAC even though TCP already includes a checksum, and what kinds of problems does this extra protection address?","causal,failure",0.0000,1.0000,1.0000,1.0000,0.8229
1bc4a880-48a1-4a41-957f-d531cbdde2f9,f824b4c3-5dff-4b33-aa14-8fd8444399a3,q07_dns_ttl_tradeoff_and_stale_entries,"How does DNS resolution work, why does the TTL create a trade-off between fast propagation and lower lookup load, and why can serving stale records be more robust than serving no records at all?","tradeoff,failure",0.5000,1.0000,1.0000,1.0000,0.5615
1bc4a880-48a1-4a41-957f-d531cbdde2f9,1b3e1ff1-fa31-4904-85bf-7198dd8391df,q08_http_versions_head_of_line_blocking,"Why does HTTP 1.1 suffer from head-of-line blocking, and how do HTTP 2 and HTTP 3 improve throughput and reduce the impact of packet loss?","contrast,failure",0.5000,1.0000,1.0000,1.0000,0.5615
1bc4a880-48a1-4a41-957f-d531cbdde2f9,e367c3e6-95d1-4a3a-915a-96cc6f258e1e,q09_idempotency_keys_and_atomicity,"Why can retrying a POST request after a timeout create an inconsistent system state, and how do idempotency keys together with transactional atomicity solve this problem?",failure,1.0000,0.5000,1.0000,1.0000,0.8596
1bc4a880-48a1-4a41-957f-d531cbdde2f9,d0d0eb16-8ba6-4721-9f67-e0ada2adf940,q10_partial_synchrony_realism,Why is the partially synchronous model usually a better fit for real distributed systems than either the strictly synchronous model or the fully asynchronous one?,"causal,contrast",1.0000,0.5000,1.0000,1.0000,0.5615
1bc4a880-48a1-4a41-957f-d531cbdde2f9,6dd1d76e-f0a6-445f-abd5-e314f1cd8274,q11_lamport_vs_vector_clocks,"Why are Lamport logical clocks not sufficient to capture causality precisely, and how do vector clocks improve on them?","causal,contrast",0.5000,0.5000,1.0000,1.0000,1.0000
1bc4a880-48a1-4a41-957f-d531cbdde2f9,57f83240-c39e-4dfc-a2b7-f7932aa52f44,q12_raft_leader_election,"How does Raft elect a leader, and why are randomized timeouts and periodic heartbeats important for preventing split votes and detecting failed leaders?","causal,failure",0.0000,1.0000,0.5000,1.0000,1.0000
1bc4a880-48a1-4a41-957f-d531cbdde2f9,92e414df-bd9f-4a33-92e7-a31696f7255d,q13_consistency_tradeoffs_and_cap,"Why does allowing clients to read from any follower improve availability but weaken consistency, and how does the CAP theorem frame the choice during a network partition?","tradeoff,failure",1.0000,1.0000,1.0000,1.0000,0.8973
1bc4a880-48a1-4a41-957f-d531cbdde2f9,3b50652f-e326-487b-9aeb-d9b80ac57705,q14_causal_vs_eventual_consistency,"Why is eventual consistency not always enough for applications with causally related operations, and how does causal consistency strengthen the guarantees without requiring full strong consistency?","contrast,tradeoff",1.0000,1.0000,1.0000,1.0000,0.7019
1bc4a880-48a1-4a41-957f-d531cbdde2f9,5d51dc30-a9be-4dcf-9129-ad9a9bf385cf,q15_isolation_atomicity_and_2pc,"What is the difference between isolation and atomicity in transactions, and why is two-phase commit needed when atomicity must be coordinated across multiple processes?",contrast,1.0000,1.0000,1.0000,1.0000,0.7449
1bc4a880-48a1-4a41-957f-d531cbdde2f9,cdfcccd6-b37e-428e-b10d-b50ef657d394,q16_outbox_pattern_dual_writes,"Why can dual writes to a primary database and a secondary system such as a search index leave the system in an inconsistent state, and how does the outbox pattern address this problem?",failure,1.0000,1.0000,1.0000,1.0000,0.5615
1bc4a880-48a1-4a41-957f-d531cbdde2f9,77ba7934-1e97-43db-9b2d-c012244481a9,q17_sagas_and_lack_of_isolation,"How do sagas use compensating transactions to preserve atomicity across services, and why do they still sacrifice the isolation guarantees of traditional ACID transactions?","tradeoff,failure",0.5000,1.0000,1.0000,1.0000,0.7780
1bc4a880-48a1-4a41-957f-d531cbdde2f9,1ce44199-f93b-4da0-b04c-5d430d4122d0,q18_range_vs_hash_partitioning,"What trade-offs separate range partitioning from hash partitioning, and why can each approach still suffer from hotspots under certain access patterns?","contrast,tradeoff",1.0000,1.0000,1.0000,1.0000,0.8973
1bc4a880-48a1-4a41-957f-d531cbdde2f9,2e049b53-269e-430d-b5ce-8c32291d376b,q19_l4_vs_l7_load_balancing,"What is the difference between transport-layer and application-layer load balancing, and what extra capabilities does an L7 load balancer gain by understanding HTTP traffic?",contrast,1.0000,1.0000,1.0000,1.0000,1.0000
1bc4a880-48a1-4a41-957f-d531cbdde2f9,d730eb8b-708f-4bda-a6c3-5932b1e904d0,q20_exactly_once_processing_is_an_illusion,"Why is exactly-once message delivery impossible in practice, and how can a consumer approximate exactly-once processing with idempotent handling and careful delete timing?","failure,tradeoff",0.0000,1.0000,1.0000,1.0000,0.7387
2f725ce8-aed5-4ded-9143-dbf25a738b94,99b08797-3d45-46d6-8a1a-a82b5851b8dc,q01_tcp_reliable_over_ip,"Why is TCP considered a transport layer that creates a reliable channel on top of unreliable IP, and what mechanisms does it use to compensate for packet loss, duplication, corruption, and out-of-order delivery?","causal,failure",0.5000,0.5000,1.0000,1.0000,0.8973
2f725ce8-aed5-4ded-9143-dbf25a738b94,a9cd915b-e702-4046-97e5-6dde08c8c81e,q02_connection_setup_reuse_cost,"Why are opening new network connections expensive, why does geographic proximity reduce this penalty, and why do systems try to reuse connections instead of recreating them repeatedly?","causal,tradeoff",1.0000,1.0000,1.0000,0.5000,0.5963
2f725ce8-aed5-4ded-9143-dbf25a738b94,3ed57f7e-c871-4fc1-9446-8885b21a8180,q03_flow_vs_congestion_control,"What is the difference between flow control and congestion control in TCP, and what type of overload is each mechanism designed to prevent?",contrast,1.0000,1.0000,1.0000,1.0000,0.7780
2f725ce8-aed5-4ded-9143-dbf25a738b94,37f1e88c-3d1d-4c4c-a772-8ffaff7938c3,q04_udp_for_realtime_protocols,"Why can UDP be a better foundation than TCP for real-time protocols such as multiplayer games, even though UDP does not provide reliability, ordering, or congestion-control guarantees?","contrast,tradeoff",1.0000,0.5000,1.0000,1.0000,0.8229
2f725ce8-aed5-4ded-9143-dbf25a738b94,1ffc7bae-c70d-4650-bf41-a2c2aa892c41,q05_tls_authentication_certificate_chain,"How does TLS authenticate a server, what role does the certificate chain play, and why can an expired certificate bring an application down?","causal,failure",0.5000,1.0000,1.0000,1.0000,1.0000
2f725ce8-aed5-4ded-9143-dbf25a738b94,52c391cc-c6cf-4dfc-a417-b3b337702a78,q06_tls_integrity_hmac_vs_tcp_checksum,"Why does TLS still verify message integrity with an HMAC even though TCP already includes a checksum, and what kinds of problems does this extra protection address?","causal,failure",0.0000,1.0000,1.0000,1.0000,1.0000
2f725ce8-aed5-4ded-9143-dbf25a738b94,2b85a917-d595-43ab-b85a-40165b648692,q08_http_versions_head_of_line_blocking,"Why does HTTP 1.1 suffer from head-of-line blocking, and how do HTTP 2 and HTTP 3 improve throughput and reduce the impact of packet loss?","contrast,failure",0.0000,0.5000,0.5000,1.0000,0.5615
2f725ce8-aed5-4ded-9143-dbf25a738b94,928c8b72-2a16-4a2d-a8ee-7250e7a0c7f0,q09_idempotency_keys_and_atomicity,"Why can retrying a POST request after a timeout create an inconsistent system state, and how do idempotency keys together with transactional atomicity solve this problem?",failure,1.0000,1.0000,1.0000,1.0000,0.5615
2f725ce8-aed5-4ded-9143-dbf25a738b94,bedafbdc-f399-467c-8d10-03489be65ace,q10_partial_synchrony_realism,Why is the partially synchronous model usually a better fit for real distributed systems than either the strictly synchronous model or the fully asynchronous one?,"causal,contrast",0.5000,0.5000,1.0000,1.0000,0.5615
2f725ce8-aed5-4ded-9143-dbf25a738b94,8af52cf7-6c56-44ab-b598-26d01afa75e5,q12_raft_leader_election,"How does Raft elect a leader, and why are randomized timeouts and periodic heartbeats important for preventing split votes and detecting failed leaders?","causal,failure",1.0000,1.0000,1.0000,1.0000,0.8791
2f725ce8-aed5-4ded-9143-dbf25a738b94,96adc79f-e326-4919-b42b-d6d67922352f,q13_consistency_tradeoffs_and_cap,"Why does allowing clients to read from any follower improve availability but weaken consistency, and how does the CAP theorem frame the choice during a network partition?","tradeoff,failure",1.0000,1.0000,1.0000,1.0000,0.8973
2f725ce8-aed5-4ded-9143-dbf25a738b94,f7b8905e-8b91-4ab5-a87d-32f0320931b7,q14_causal_vs_eventual_consistency,"Why is eventual consistency not always enough for applications with causally related operations, and how does causal consistency strengthen the guarantees without requiring full strong consistency?","contrast,tradeoff",0.5000,1.0000,1.0000,1.0000,0.8596
2f725ce8-aed5-4ded-9143-dbf25a738b94,f78d8673-442a-40cc-ba54-1da9c6b2da4a,q15_isolation_atomicity_and_2pc,"What is the difference between isolation and atomicity in transactions, and why is two-phase commit needed when atomicity must be coordinated across multiple processes?",contrast,0.5000,0.5000,1.0000,0.5000,0.4440
2f725ce8-aed5-4ded-9143-dbf25a738b94,1b712de9-6d88-4a5d-920d-c719b88a1eb4,q16_outbox_pattern_dual_writes,"Why can dual writes to a primary database and a secondary system such as a search index leave the system in an inconsistent state, and how does the outbox pattern address this problem?",failure,0.5000,1.0000,0.5000,1.0000,0.5615
2f725ce8-aed5-4ded-9143-dbf25a738b94,b59ed591-6768-4a08-8316-f661be7c91a2,q17_sagas_and_lack_of_isolation,"How do sagas use compensating transactions to preserve atomicity across services, and why do they still sacrifice the isolation guarantees of traditional ACID transactions?","tradeoff,failure",0.0000,0.5000,1.0000,1.0000,0.7780
2f725ce8-aed5-4ded-9143-dbf25a738b94,b9ed00ce-2a1b-4d72-8a0a-f3e2a46578be,q18_range_vs_hash_partitioning,"What trade-offs separate range partitioning from hash partitioning, and why can each approach still suffer from hotspots under certain access patterns?","contrast,tradeoff",1.0000,1.0000,1.0000,1.0000,0.8973
2f725ce8-aed5-4ded-9143-dbf25a738b94,75798304-af44-4a49-9492-6b49f5f6510e,q19_l4_vs_l7_load_balancing,"What is the difference between transport-layer and application-layer load balancing, and what extra capabilities does an L7 load balancer gain by understanding HTTP traffic?",contrast,0.5000,1.0000,1.0000,1.0000,1.0000
2f725ce8-aed5-4ded-9143-dbf25a738b94,a676f33d-58ee-44d9-917b-78f6f65da3cb,q20_exactly_once_processing_is_an_illusion,"Why is exactly-once message delivery impossible in practice, and how can a consumer approximate exactly-once processing with idempotent handling and careful delete timing?","failure,tradeoff",0.0000,1.0000,1.0000,1.0000,0.8229
